Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6410
Sample Name,1-Butanol
Formula,C4H9OH
Molecular Weight (g/mol),74.122
Sample Weight (g),2.0000
Water Temp (deg C),21.68
Room Temp (deg C),22.68
Water Volume (L),2.0
Wire Before (g),0.029
Wire After (g),0.019
=====,=====
Time (s),Temperature (C)
0.00,21.68
30.00,21.70
60.00,21.68
90.00,21.70
120.00,21.71
150.00,21.67
180.00,21.68
210.00,21.70
240.00,21.67
270.00,21.69
300.00,21.71
330.00,23.10
360.00,25.24
390.00,26.81
420.00,27.79
450.00,28.31
480.00,28.62
510.00,28.82
540.00,28.89
570.00,28.95
600.00,28.96
630.00,28.95
660.00,28.96
690.00,28.95
720.00,28.94
750.00,28.97
780.00,28.95
810.00,28.95
840.00,28.93
870.00,28.95
900.00,28.94
930.00,28.91
960.00,28.94
